"transaction";"type_bien";"prix";"surface";"nb_pieces";"nb_chambres";"ville";"code_postal";"description";"source"
"ventes";"appartements";"929000";"109.0";"3";"2";"Paris";"75020";"**Au pied du métro Buzenval, bel appartement rénové situé au troisième étage (sans ascenseur).**  D'une superficie de  109 m², il comprend une vaste et lumineuse pièce de vie, sur parquet et ...";"pap"
"ventes";"appartements";"369000";"50.0";"2";"1";"Paris";"75015";"**Urgent**. À saisir.  Paris 15ᵉ - Bord de Seine - Vue tour Eiffel – Spécial investisseur LMNP résidence de tourisme rentabilité 5,93% + défiscalisation  Produit rare : 2 pièces de 50 m² au 8e étage...";"pap"
"ventes";"appartements";"240000";"25.71";"1";"";"Paris";"75019";"**Proximité métro Danube**  Charmant appartement de type studio, situé au premier étage et d'une surface habitable de 25m2, il se compose d'une entrée principale, bel espace de vie exposé nord-est...";"pap"
"ventes";"appartements";"1390000";"114.0";"6";"4";"Paris";"75016";"À vendre – *Spacieux appartement familial traversant rénové avec vue dégagée*  68 rue Boileau, à proximité de Notre Dame des Oiseaux et Jean Baptiste Say  Situé au *6ᵉ étage avec  2 ascenseurs*, cet...";"pap"
"ventes";"appartements";"329000";"33.04";"2";"1";"Paris";"75017";"Agences &  autres professionnels de l'immobilier merci de vous abstenir de me contacter car aucune réponse ne vous sera donnée !*  Quartier des Epinettes.  Appartement 2 pièces, 33.04 m²entièrement...";"pap"
"ventes";"appartements";"349000";"41.0";"2";"1";"Paris";"75018";"Rue Bonnet, appartement 2P, 40,50 m2 Carrez, entièrement refait, libre, traversant, séjour/cuisine de 24 m2 avec trois fenêtres plein sud en façade sur voie privée arborée très calme, sans vis-à-vis...";"pap"
"ventes";"appartements";"995000";"83.0";"3";"2";"Paris";"75016";"Idéalement situé entre la place Victor Hugo et la place du Trocadéro, appartement climatisé (climatisation réversible) de 3 pièces en parfait état d'une surface de 83 m² avec balcon/terrasse aménagé...";"pap"
"ventes";"appartements";"375000";"33.0";"1";"";"Paris";"75011";"Appartement d'une surface carrez de 33 m², comprenant une pièce principale, plus une salle d'eau, un dressing (grands placards) et cuisine séparée ; balcon/loggia de 2,8 m² donnant sur jardin...";"pap"
"ventes";"appartements";"342000";"36.36";"2";"1";"Paris";"75019";"Deux pièces, situé rue de Nantes à 60 m du canal de l’Ourcq, très calme, se trouve sur l’arrière au 1er étage. Avec une façade de type haussmannien, l’immeuble a fait l’objet de nombreux travaux de...";"pap"
"ventes";"appartements";"76000";"7.96";"1";"1";"Paris";"75019";"Chambre à rafraichir éligible à la location dans copropriété calme et propre, située au 3ᵉ Étage avec belle hauteur sous plafond 7,96 m² surface au sol et 20,45 m³ de volume à 5 minutes à pied du...";"pap"
"ventes";"appartements";"680000";"78.0";"4";"2";"Paris";"75020";"**Paris 20 - Saint-Blaise -78 m² refait à neuf - 8e étage -  4 pièces - 2 chambres - Cave et parking **  Idéalement situé, cet appartement bénéficie d’un cadre de vie vivant et recherché dans le...";"pap"
"ventes";"appartements";"1730000";"151.0";"6";"4";"Paris";"75002";"**Superbe appartement**  6 pièces 151m²/ **Paris 2ème Vivienne-Ggaillon**  **Achat direct propriétaire** :  **professionnels de l'immobilier** : **pas de démarchage**! **Merci.**  **Proche de la...";"pap"
"ventes";"appartements";"469000";"37.0";"2";"1";"Paris";"75002";"Offrez-vous une adresse prestigieuse au cœur du 2eme arrondissement- Rue St-Fiacre. Architecture du milieu du XIXème, cet immeuble idéalement situé dans le très recherché quartier du Sentier abrite...";"pap"
"ventes";"appartements";"180000";"18.0";"1";"";"Paris";"75003";"Rue Beaubourg. **Grand studio** de 20,7 m2 au sol (18 loi carrez), vue dégagée, deux fenêtres, cuisine américaine, salle d'eau et toilettes. Au  7ème étage sans ascenseur d'un bel immeuble dans un...";"pap"
"ventes";"appartements";"1290000";"66.0";"3";"1";"Paris";"75007";"Au pied de la tour Eiffel et de ses jardins.  Appartement 66 m² comprenant entrée, double living, chambre, cuisine fermée, salle bains et wc séparé.  RDC sans vis-à-vis.  Charges copropriété : 100 €...";"pap"
"ventes";"appartements";"1900000";"170.0";"4";"3";"Paris";"75008";"Appartement spacieux de 170 m² situé dans le 8ᵉ arrondissement, à deux pas du Parc Monceau et à environ 15 minutes à pied des Champs-Élysées. Dans un immeuble haussmannien avec ascenseur et gardien,...";"pap"
"ventes";"appartements";"780000";"75.0";"3";"2";"Paris";"75017";"Paris 17e - Quartier Legendre -La Fourche (Epinettes).  Appartement rue Lengendre, entre avenue de Clichy et de St-Ouen, métro Guy-Môquet / La Fourche / Brochant, proche tous commerces, au 1er étage...";"pap"
"ventes";"appartements";"430000";"31.27";"2";"1";"Paris";"75008";"Appartement Charmant de 2 Pièces à Paris 8ème arrondissement. Proche du Palais de l'Élysée.  Vous rêvez de vivre au cœur de la Ville Lumière, dans un quartier prisé et chargé d'histoire ? Cet...";"pap"
"ventes";"appartements";"849000";"72.41";"4";"3";"Paris";"75009";"Quartier de l'Europe, Rue d'Amsterdam.  4 pièces de 72,40 m2. Immeuble romantique de 1840. 2 ème étage, exposition ouest-est, vue dégagée. très clair et très calme. Entrée, salon de 24 m2 avec...";"pap"
"ventes";"appartements";"625000";"78.0";"4";"3";"Paris";"75010";"**Bel appartement familial avec beaucoup de potentiel**, au sein d'un immeuble bien entretenu. Emplacement recherché,  rue de l'Aqueduc, devenu interdit à la circulation dans les 2 sens.  D'une...";"pap"
"ventes";"appartements";"900000";"90.0";"4";"2";"Paris";"75010";"Charmant 4 pièces de 68m² Carrez avec 41m² de terrasse - Canal Saint-Martin  Situé au premier étage d’une copropriété semi-récente de standing, cet appartement traversant de 4 pièces développe une...";"pap"
"ventes";"appartements";"415000";"35.0";"2";"1";"Paris";"75011";"Charmant appartement de 35 m² — Entièrement rénové et très calme — Paris 11ᵉ  Découvrez ce ravissant appartement de 35 m², parfaitement agencé et situé au cœur du très recherché 11ᵉ arrondissement,...";"pap"
"ventes";"appartements";"700000";"65.0";"3";"2";"Paris";"75011";"À proximité de la place de la Bastille et de tous les commerces.  Copropriété avec ravalement en cours, voté payé.  11ᵉ et dernier étage. Traversant. Séjour, cuisine séparée, deux chambres, salle de...";"pap"
