"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 12E (75012)";"369000";"34.60";"2";"1";"Idéalement situé à deux pas du très prisé marché d’Aligre, au cœur d’un quartier vivant avec de nombreux commerces, venez découvrir ce superbe appartement de 34,62 m² entièrement refait à neuf.  ..."
"ventes-appartements";"Paris 15E (75015)";"250000";"21.80";"1";"";"Je vous propose ce studio de 21,8 m² situé au 4ème étage d'un immeuble construit en 1960, dans le 15ème arrondissement de Paris.  Ce studio comprend une pièce principale avec un espace cuisine..."
"ventes-appartements";"Paris 16E (75016)";"980000";"102";"4";"3";"62 Boulevard Suchet, beau 4 pièces de 102 m2 situé au 1° étage d'un immeuble ancien  qui en comporte 4.  Avec 3 terrasses ou balcons , l'ensemble est particulièrement lumineux avec vue imprenable sur..."
"ventes-appartements";"Paris 16E (75016)";"870000";"101";"4";"3";"En plein coeur du 16e arrondissement de Paris à la frontière avec Boulogne Billancourt, ce magnifique appartement de 101 m2, au 3e étage de l'immeuble du 11 Avenue Ferdinand Buisson. Comporte 3..."
"ventes-appartements";"Paris 16E (75016)";"195000";"13";"1";"";"Studio 18 mètres carrés au sol. Dernier étage avec ascenseur. Accès cour à vélo. Proximité commerce et marché. Métro. Deux velux neufs. Une pièce principale une cuisine équipée avec plaque frigidaire..."
"ventes-appartements";"Paris 17E (75017)";"180000";"15";"1";"";"Paris 17ᵉ – Passage Cardinet, à deux pas de la rue de Lévis.  Idéalement situé dans un environnement recherché et commerçant, au calme du Passage Cardinet et à proximité immédiate de la très prisée..."
"ventes-appartements";"Paris 17E (75017)";"988000";"90";"4";"2";"Idéalement situé à proximité de l’avenue Niel et proche des marchés Lebon et Poncelet, cet appartement de 4 pièces est situé au 1ᵉʳ étage d’un immeuble ancien récemment ravalé, construit en 1895,..."
"ventes-appartements";"Paris 18E (75018)";"289000";"36";"2";"1";"Charmant 2 pièces rénové – Calme sur cour – Lumineux – Cheminée – Secteur Rochechouart / Montmartre  À seulement 100 mètres des métros Barbès-Rochechouart (lignes 2 et 4) et à proximité immédiate de..."
"ventes-appartements";"Paris 18E (75018)";"380000";"36.50";"2";"1";"Au pied du métro Anvers (ligne 2), dans un bel immeuble en pierre de taille datant de 1895, beau 2 pièces entièrement sur cour et très calme.  L'appartement, situé au 3e étage, se compose d'une..."
"ventes-appartements";"Paris 18E (75018)";"259000";"34";"2";"1";"Entre Marx Dormoy et porte de la chapelle, 2 pièces sur cour, très calme et très lumineux. Traversant, cour/cour. Refait à neuf. Coin cuisine entièrement équipée (réfrigérateur, plaques, four), dans..."
